neighbourhood_group,neighbourhood,latitude,longitude
Bronx,Allerton,40.865291666666664,-73.85872714285715
Bronx,Baychester,40.87361571428572,-73.84296714285713
Bronx,Belmont,40.855061666666664,-73.88710875
Bronx,Bronxdale,40.85473105263158,-73.86628736842106
Bronx,Castle Hill,40.81688888888888,-73.84700000000001
Bronx,City Island,40.84787222222222,-73.78705444444444
Bronx,Claremont Village,40.83918535714286,-73.90927857142857
Bronx,Clason Point,40.811750476190475,-73.85678952380952
Bronx,Co-op City,40.86481499999999,-73.82324
Bronx,Concourse,40.8269188,-73.92446939999999
Bronx,Concourse Village,40.83005375,-73.9178053125
Bronx,East Morrisania,40.83107,-73.88907777777779
Bronx,Eastchester,40.88085230769231,-73.83472230769232
Bronx,Edenwald,40.88803461538461,-73.83608692307692
Bronx,Fieldston,40.8919425,-73.90194166666667
Bronx,Fordham,40.86322158730159,-73.8943592063492
Bronx,Highbridge,40.83548962962963,-73.92785185185186
Bronx,Hunts Point,40.81552222222222,-73.88808833333333
Bronx,Kingsbridge,40.87679828571429,-73.90178942857142
Bronx,Longwood,40.82127806451613,-73.90244951612902
Bronx,Melrose,40.821535,-73.91584900000001
Bronx,Morris Heights,40.84913117647059,-73.91630176470589
Bronx,Morris Park,40.85227933333333,-73.85538066666666
Bronx,Morrisania,40.82828111111111,-73.9058561111111
Bronx,Mott Haven,40.8109975,-73.9198715
Bronx,Mount Eden,40.842063333333336,-73.91650166666666
Bronx,Mount Hope,40.8484305,-73.9055175
Bronx,North Riverdale,40.907599,-73.898328
Bronx,Norwood,40.87503580645161,-73.87942096774194
Bronx,Olinville,40.883655,-73.86451
Bronx,Parkchester,40.83565,-73.8638717948718
Bronx,Pelham Bay,40.84935,-73.83207647058823
Bronx,Pelham Gardens,40.86368392857143,-73.84316
Bronx,Port Morris,40.80673391304348,-73.9266202173913
Bronx,Riverdale,40.88735181818182,-73.91206363636364
Bronx,Schuylerville,40.83585769230769,-73.83347
Bronx,Soundview,40.826920666666666,-73.86991266666668
Bronx,Spuyten Duyvil,40.88109,-73.916775
Bronx,Throgs Neck,40.824156249999994,-73.82177791666668
Bronx,Tremont,40.84367909090909,-73.89131363636363
Bronx,Unionport,40.828294285714286,-73.85246285714285
Bronx,University Heights,40.85805809523809,-73.9101619047619
Bronx,Van Nest,40.84326,-73.86715545454545
Bronx,Wakefield,40.893178400000004,-73.8535778
Bronx,West Farms,40.84135,-73.878455
Bronx,Westchester Square,40.839690000000004,-73.846981
Bronx,Williamsbridge,40.87893525,-73.85814675
Bronx,Woodlawn,40.897420909090904,-73.86793909090909
Brooklyn,Bath Beach,40.60413411764706,-74.00637411764706
Brooklyn,Bay Ridge,40.63142361702128,-74.02623751773051
Brooklyn,Bedford-Stuyvesant,40.687201978436654,-73.93983098921832
Brooklyn,Bensonhurst,40.612183466666664,-73.9940088
